attendee_type_id,attendee_type_name,country_name,city_name,demora15min,nom_week_day,attendees
41069,Buyers,Colombia,Bogotá,15,Tue,1
42186,Student,Colombia,Medellín,30,Tue,21
41642,Asistant,Colombia,Medellín,0,Thu,25
42479,Student,Colombia,Medellín,45,Wed,1
2006,Student,Colombia,Bogotá,30,Wed,2
40810,Sponsors,Chile,Santiago,45,Thu,1
37010,Student,Chile,La Florida,30,Wed,9
2601,Regulators,Colombia,Bogotá,> 120,Tue,2
40486,Sellers,Colombia,Bogotá,15,Wed,2
34127,Buyers,Colombia,Bogotá,0,Wed,26
275,Student,Netherlands,Utrecht,0,Wed,5
37333,Student,Colombia,Bogotá,30,Wed,3
2554,Consultant,Colombia,Bogotá,> 120,Thu,2
35562,Regulators,Colombia,Bogotá,60,Wed,1
37586,Student,France,Montpellier,0,Wed,11
39739,Buyers,Colombia,Bogotá,90,Tue,3
40237,Buyers,Colombia,Bogotá,15,Sat,49
39021,Visitors,Colombia,Bogotá,0,Wed,1
37196,Buyers,France,Montpellier,0,Wed,10
37600,Consultant,Colombia,Bogotá,60,Thu,2
3321,Student,Colombia,Medellín,30,Thu,1
36012,Student,Chile,La Florida,45,Fri,1
36012,Student,Chile,La Florida,15,Fri,1
40869,Buyers,Colombia,Bogotá,15,Thu,2
37055,Regulators,Colombia,Bogotá,15,Tue,2
4199,Asistant,Colombia,Bogotá,30,Tue,80
38114,Student,Chile,Las Condes,120,Tue,2
39747,Staff,Chile,Vitacura,15,Fri,1
42234,Visitors,Chile,Santiago,0,Wed,1
2515,Visitors,Colombia,Bogotá,105,Thu,9
38136,Consultant,Colombia,Bogotá,15,Tue,2
39726,Student,Colombia,Medellín,> 120,Thu,79
3603,Consultant,Ecuador,Quito,0,Thu,2
2564,Sellers,Colombia,Bogotá,0,Tue,1
40227,Buyers,Colombia,Bogotá,105,Thu,1
38651,Sellers,Colombia,Bogotá,15,Fri,1
37407,Visitors,Colombia,Bogotá,0,Wed,1
41623,Student,Colombia,Bogotá,0,Thu,1
39747,Student,Chile,Vitacura,120,Fri,1
42425,Consultant,Colombia,Bogotá,0,Mon,3
40275,Buyers,Colombia,Bogotá,0,Thu,4
152,Student,Colombia,Medellín,0,Tue,1
854,Student,United States,Indianapolis,0,Wed,51
40757,Student,Colombia,Medellín,30,Fri,15
38450,Sellers,Colombia,Bogotá,0,Wed,1
40481,Consultant,Colombia,Bogotá,15,Thu,2
2515,Visitors,Colombia,Bogotá,75,Thu,8
37046,Student,Colombia,Bogotá,0,Wed,3
42860,Visitors,Chile,Santiago,75,Thu,1
965,Regulators,Colombia,Medellín,0,Tue,2
37980,Buyers,Colombia,Bogotá,15,Fri,1
2564,Consultant,Colombia,Bogotá,60,Tue,8
42590,Exhibitors,Chile,Las Condes,> 120,Tue,6
43198,Student,Colombia,Ríonegro,75,Wed,2
40810,Visitors,Chile,Santiago,75,Thu,1
39897,Student,Colombia,Medellín,0,Thu,89
34115,Student,Colombia,Bogotá,45,Tue,2
37682,Buyers,Colombia,Bogotá,0,Thu,9
40453,Buyers,Colombia,Medellín,15,Thu,16
530,Student,United States,Secaucus,0,Sat,44
3718,Student,Colombia,Medellín,0,Tue,15
39336,Student,Mexico,Mexico City,> 120,Tue,20
2516,Regulators,Colombia,Bogotá,90,Thu,1
39897,Student,Colombia,Medellín,45,Thu,1
41729,Student,Colombia,Ríonegro,> 120,Wed,202
38114,Student,Chile,Las Condes,90,Tue,3
2622,Asistant,Colombia,Apartadó,105,Fri,1
39572,Buyers,Colombia,Medellín,75,Tue,4
42209,Regulators,Colombia,Cali,90,Tue,8
41596,Student,Colombia,Bogotá,15,Thu,6
2234,Exhibitors,Colombia,Medellín,120,Wed,1
40905,Consultant,Colombia,Bogotá,15,Mon,2
43440,Consultant,Colombia,Bogotá,0,Wed,13
38380,Regulators,Colombia,Cali,15,Sat,4
38696,Consultant,Colombia,Bogotá,0,Wed,4
40994,Buyers,Colombia,Bogotá,0,Thu,1
42998,Consultant,Colombia,Bogotá,0,Mon,4
3444,Student,Colombia,Bogotá,30,Thu,4
39891,Buyers,Colombia,Bogotá,45,Mon,1
36124,Visitors,France,Mérignac,0,Tue,5
35557,Exhibitors,Argentina,Buenos Aires,45,Thu,1
